Timestamp,Blade_Type,Vibration,Torque,Speed,Noise,Temp,Condition,RUL
2025-09-04 23:57:21.787839,Delta Form,0.515,20.0,1193.4,66.99,34.55,Sharp,507.4
2025-09-04 23:57:22.787839,Delta Form,0.448,20.0,1203.6,67.95,34.37,Sharp,507.4
2025-09-04 23:57:23.787839,Delta Form,0.538,20.0,1199.8,66.65,35.17,Sharp,507.4
2025-09-04 23:57:24.787839,Delta Form,0.547,20.0,1197.6,67.28,35.08,Sharp,507.4
2025-09-04 23:57:25.787839,Delta Form,0.402,20.0,1199.0,67.76,33.89,Sharp,507.4
2025-09-04 23:57:26.787839,Delta Form,0.435,20.0,1204.1,67.58,34.35,Sharp,507.4
2025-09-04 23:57:27.787839,Delta Form,0.506,20.0,1202.9,68.73,35.13,Sharp,507.4
2025-09-04 23:57:28.787839,Delta Form,0.484,20.0,1199.5,67.26,34.96,Sharp,507.4
2025-09-04 23:57:29.787839,Delta Form,0.499,20.0,1195.4,65.53,34.8,Sharp,507.4
2025-09-04 23:57:30.787839,Delta Form,0.457,20.0,1195.7,66.31,35.3,Sharp,507.4
2025-09-04 23:57:31.787839,Delta Form,0.544,20.0,1203.0,67.98,34.28,Sharp,507.4
2025-09-04 23:57:32.787839,Delta Form,0.539,20.0,1194.9,67.41,34.7,Sharp,507.4
2025-09-04 23:57:33.787839,Delta Form,0.503,20.0,1199.5,66.76,35.26,Sharp,507.4
2025-09-04 23:57:34.787839,Delta Form,0.556,20.0,1210.7,69.96,34.68,Sharp,507.4
2025-09-04 23:57:35.787839,Delta Form,0.523,20.0,1201.8,68.83,35.16,Sharp,507.4
2025-09-04 23:57:36.787839,Delta Form,0.457,20.0,1203.0,67.94,34.43,Sharp,507.4
2025-09-04 23:57:37.787839,Delta Form,0.518,20.0,1195.8,68.23,34.59,Sharp,507.4
2025-09-04 23:57:38.787839,Delta Form,0.452,20.0,1195.1,67.73,34.11,Sharp,507.4
2025-09-04 23:57:39.787839,Delta Form,0.544,20.0,1203.2,66.75,33.97,Sharp,507.4
2025-09-04 23:57:40.787839,Delta Form,0.498,20.0,1198.9,69.03,34.76,Sharp,507.4
2025-09-04 23:57:41.787839,Delta Form,0.491,20.0,1204.7,68.85,35.23,Sharp,507.4
2025-09-04 23:57:42.787839,Delta Form,0.466,20.0,1200.6,66.02,34.94,Sharp,507.4
2025-09-04 23:57:43.787839,Delta Form,0.561,20.0,1214.2,68.23,35.58,Sharp,507.4
2025-09-04 23:57:44.787839,Delta Form,0.492,20.0,1198.1,68.34,34.8,Sharp,507.4
2025-09-04 23:57:45.787839,Delta Form,0.479,20.0,1201.6,67.68,33.94,Sharp,507.4
2025-09-04 23:57:46.787839,Delta Form,0.482,20.0,1196.8,70.1,35.17,Sharp,507.4
2025-09-04 23:57:47.787839,Delta Form,0.527,20.0,1204.5,69.99,34.46,Sharp,507.4
2025-09-04 23:57:48.787839,Delta Form,0.518,20.0,1202.2,67.62,35.06,Sharp,507.4
2025-09-04 23:57:49.787839,Delta Form,0.521,20.0,1196.6,67.78,33.86,Sharp,507.4
2025-09-04 23:57:50.787839,Delta Form,0.522,20.0,1199.1,67.66,34.86,Sharp,507.4
2025-09-04 23:57:51.787839,Delta Form,0.607,20.0,1205.9,67.39,35.35,Sharp,507.4
2025-09-04 23:57:52.787839,Delta Form,0.48,20.0,1205.4,67.08,35.29,Sharp,507.4
2025-09-04 23:57:53.787839,Delta Form,0.474,20.0,1194.7,68.51,34.87,Sharp,507.4
2025-09-04 23:57:54.787839,Delta Form,0.459,20.0,1198.5,69.96,34.97,Sharp,507.4
2025-09-04 23:57:55.787839,Delta Form,0.531,20.0,1207.7,69.55,34.75,Sharp,507.4
2025-09-04 23:57:56.787839,Delta Form,0.556,20.0,1199.7,68.79,34.85,Sharp,507.4
2025-09-04 23:57:57.787839,Delta Form,0.494,20.0,1201.1,65.59,35.31,Sharp,507.4
2025-09-04 23:57:58.787839,Delta Form,0.458,20.0,1204.5,66.14,34.63,Sharp,507.4
2025-09-04 23:57:59.787839,Delta Form,0.459,20.0,1195.1,69.06,34.67,Sharp,507.4
2025-09-04 23:58:00.787839,Delta Form,0.533,20.0,1196.6,69.62,34.21,Sharp,507.4
2025-09-04 23:58:01.787839,Delta Form,0.537,20.0,1199.1,68.55,35.32,Sharp,507.4
2025-09-04 23:58:02.787839,Delta Form,0.527,20.0,1205.2,67.69,34.84,Sharp,507.4
2025-09-04 23:58:03.787839,Delta Form,0.467,20.0,1204.5,69.35,34.37,Sharp,507.4
2025-09-04 23:58:04.787839,Delta Form,0.512,20.0,1203.3,68.75,35.41,Sharp,507.4
2025-09-04 23:58:05.787839,Delta Form,0.506,20.0,1199.8,69.14,34.95,Sharp,507.4
2025-09-04 23:58:06.787839,Delta Form,0.511,20.0,1204.9,66.14,34.6,Sharp,507.4
2025-09-04 23:58:07.787839,Delta Form,0.544,20.0,1199.8,68.34,35.42,Sharp,507.4
2025-09-04 23:58:08.787839,Delta Form,0.511,20.0,1202.7,69.77,34.8,Sharp,507.4
2025-09-04 23:58:09.787839,Delta Form,0.534,20.0,1204.0,68.53,34.19,Sharp,507.4
2025-09-04 23:58:10.787839,Delta Form,0.503,20.0,1207.2,68.95,35.45,Sharp,507.4
2025-09-04 23:58:11.787839,Delta Form,0.514,20.0,1200.2,68.04,34.55,Sharp,507.4
2025-09-04 23:58:12.787839,Delta Form,0.532,20.0,1198.9,68.11,36.48,Sharp,507.4
2025-09-04 23:58:13.787839,Delta Form,0.427,20.0,1205.6,69.4,34.75,Sharp,507.4
2025-09-04 23:58:14.787839,Delta Form,0.484,20.0,1205.9,67.33,33.97,Sharp,507.4
2025-09-04 23:58:15.787839,Delta Form,0.476,20.0,1198.2,67.23,35.85,Sharp,507.4
2025-09-04 23:58:16.787839,Delta Form,0.468,20.0,1196.0,67.52,34.94,Sharp,507.4
2025-09-04 23:58:17.787839,Delta Form,0.486,20.0,1205.3,68.02,35.1,Sharp,507.4
2025-09-04 23:58:18.787839,Delta Form,0.575,20.0,1193.8,66.39,35.16,Sharp,507.4
2025-09-04 23:58:19.787839,Delta Form,0.457,20.0,1193.6,68.73,34.29,Sharp,507.4
2025-09-04 23:58:20.787839,Delta Form,0.548,20.0,1199.3,67.84,33.89,Sharp,507.4
2025-09-04 23:58:21.787839,Delta Form,0.416,20.0,1200.4,68.85,35.95,Sharp,507.4
2025-09-04 23:58:22.787839,Delta Form,0.483,19.199,1195.8,65.88,35.69,Sharp,507.4
