Timestamp,Motor_Current,Motor_Vibration,Motor_Temp,Motor_Power,Blade_Type,Blade_Vibration,Blade_Torque,Blade_Speed,Blade_Noise,Blade_Temp,Health_Status,Condition,RUL_Motor,RUL_Blade
2025-09-04 23:57:21.787839,9.539,0.445,42.898,5.84,Delta Form,0.515,20.0,1193.4,66.99,34.55,Normal,Sharp,906.0,507.4
2025-09-04 23:57:22.787839,10.398,0.364,45.674,6.36,Delta Form,0.448,20.0,1203.6,67.95,34.37,Normal,Sharp,906.0,507.4
2025-09-04 23:57:23.787839,9.778,0.491,45.257,5.99,Delta Form,0.538,20.0,1199.8,66.65,35.17,Normal,Sharp,906.0,507.4
2025-09-04 23:57:24.787839,10.435,0.368,43.42,6.37,Delta Form,0.547,20.0,1197.6,67.28,35.08,Normal,Sharp,906.0,507.4
2025-09-04 23:57:25.787839,9.691,0.277,45.121,5.92,Delta Form,0.402,20.0,1199.0,67.76,33.89,Normal,Sharp,906.0,507.4
2025-09-04 23:57:26.787839,10.045,0.277,43.195,6.15,Delta Form,0.435,20.0,1204.1,67.58,34.35,Normal,Sharp,906.0,507.4
2025-09-04 23:57:27.787839,9.979,0.442,43.528,6.1,Delta Form,0.506,20.0,1202.9,68.73,35.13,Normal,Sharp,906.0,507.4
2025-09-04 23:57:28.787839,10.428,0.359,44.007,6.38,Delta Form,0.484,20.0,1199.5,67.26,34.96,Normal,Sharp,906.0,507.4
2025-09-04 23:57:29.787839,10.249,0.393,43.386,6.27,Delta Form,0.499,20.0,1195.4,65.53,34.8,Normal,Sharp,906.0,507.4
2025-09-04 23:57:30.787839,9.648,0.438,44.424,5.89,Delta Form,0.457,20.0,1195.7,66.31,35.3,Normal,Sharp,906.0,507.4
2025-09-04 23:57:31.787839,9.867,0.434,44.796,6.02,Delta Form,0.544,20.0,1203.0,67.98,34.28,Normal,Sharp,906.0,507.4
2025-09-04 23:57:32.787839,9.859,0.356,43.006,6.02,Delta Form,0.539,20.0,1194.9,67.41,34.7,Normal,Sharp,906.0,507.4
2025-09-04 23:57:33.787839,9.829,0.483,44.083,6.0,Delta Form,0.503,20.0,1199.5,66.76,35.26,Normal,Sharp,906.0,507.4
2025-09-04 23:57:34.787839,9.937,0.408,43.307,6.07,Delta Form,0.556,20.0,1210.7,69.96,34.68,Normal,Sharp,906.0,507.4
2025-09-04 23:57:35.787839,10.02,0.406,44.192,6.12,Delta Form,0.523,20.0,1201.8,68.83,35.16,Normal,Sharp,906.0,507.4
2025-09-04 23:57:36.787839,10.172,0.347,44.209,6.22,Delta Form,0.457,20.0,1203.0,67.94,34.43,Normal,Sharp,906.0,507.4
2025-09-04 23:57:37.787839,10.485,0.352,43.554,6.41,Delta Form,0.518,20.0,1195.8,68.23,34.59,Normal,Sharp,906.0,507.4
2025-09-04 23:57:38.787839,9.957,0.392,43.885,6.09,Delta Form,0.452,20.0,1195.1,67.73,34.11,Normal,Sharp,906.0,507.4
2025-09-04 23:57:39.787839,9.836,0.345,44.072,6.0,Delta Form,0.544,20.0,1203.2,66.75,33.97,Normal,Sharp,906.0,507.4
2025-09-04 23:57:40.787839,10.341,0.395,43.521,6.31,Delta Form,0.498,20.0,1198.9,69.03,34.76,Normal,Sharp,906.0,507.4
2025-09-04 23:57:41.787839,9.78,0.476,42.828,5.96,Delta Form,0.491,20.0,1204.7,68.85,35.23,Normal,Sharp,906.0,507.4
